domain,target_ip,hop,rtt1_ms,rtt2_ms,rtt3_ms,hop_host,raw_tracert_excerpt
google.com,173.194.221.113,1,1 ms,1 ms,1 ms,10.3.128.1,
google.com,173.194.221.113,2,2 ms,1 ms,1 ms,84.237.49.5,
google.com,173.194.221.113,3,4 ms,1 ms,1 ms,84.237.49.138,
google.com,173.194.221.113,4,2 ms,1 ms,1 ms,95.170.130.189,
google.com,173.194.221.113,5,50 ms,50 ms,50 ms,85.112.122.5,
google.com,173.194.221.113,6,52 ms,49 ms,48 ms,195.208.208.232,
google.com,173.194.221.113,7,60 ms,*,60 ms,192.178.241.55,
google.com,173.194.221.113,8,*,59 ms,*,192.178.241.66,
google.com,173.194.221.113,9,*,*,*,Request timed out.,
google.com,173.194.221.113,10,67 ms,66 ms,66 ms,216.239.57.222,
google.com,173.194.221.113,11,65 ms,65 ms,70 ms,172.253.51.239,
google.com,173.194.221.113,12,*,*,*,Request timed out.,
google.com,173.194.221.113,13,*,*,*,Request timed out.,
google.com,173.194.221.113,14,*,*,*,Request timed out.,
google.com,173.194.221.113,15,*,*,*,Request timed out.,
google.com,173.194.221.113,16,*,*,*,Request timed out.,
google.com,173.194.221.113,17,*,*,*,Request timed out.,
google.com,173.194.221.113,18,*,*,*,Request timed out.,
google.com,173.194.221.113,19,*,*,*,Request timed out.,
google.com,173.194.221.113,20,*,*,*,Request timed out.,
google.com,173.194.221.113,21,65 ms,64 ms,64 ms,173.194.221.113,
google.com,173.194.221.102,1,1 ms,1 ms,1 ms,10.3.128.1,
google.com,173.194.221.102,2,3 ms,1 ms,1 ms,84.237.49.5,
google.com,173.194.221.102,3,3 ms,1 ms,1 ms,84.237.49.138,
google.com,173.194.221.102,4,2 ms,1 ms,1 ms,95.170.130.189,
google.com,173.194.221.102,5,50 ms,50 ms,50 ms,85.112.122.5,
google.com,173.194.221.102,6,48 ms,51 ms,*,195.208.208.232,
google.com,173.194.221.102,7,59 ms,58 ms,59 ms,192.178.241.161,
google.com,173.194.221.102,8,58 ms,58 ms,58 ms,192.178.241.148,
google.com,173.194.221.102,9,*,*,66 ms,209.85.255.136,
google.com,173.194.221.102,10,66 ms,66 ms,66 ms,209.85.254.20,
google.com,173.194.221.102,11,65 ms,65 ms,65 ms,209.85.254.135,
google.com,173.194.221.102,12,*,*,*,Request timed out.,
google.com,173.194.221.102,13,*,*,*,Request timed out.,
google.com,173.194.221.102,14,*,*,*,Request timed out.,
google.com,173.194.221.102,15,*,*,*,Request timed out.,
google.com,173.194.221.102,16,*,*,*,Request timed out.,
google.com,173.194.221.102,17,*,*,*,Request timed out.,
google.com,173.194.221.102,18,*,*,*,Request timed out.,
google.com,173.194.221.102,19,*,*,*,Request timed out.,
google.com,173.194.221.102,20,*,*,*,Request timed out.,
google.com,173.194.221.102,21,65 ms,65 ms,65 ms,173.194.221.102,
google.com,173.194.221.100,1,1 ms,1 ms,1 ms,10.3.128.1,
google.com,173.194.221.100,2,3 ms,1 ms,1 ms,84.237.49.5,
google.com,173.194.221.100,3,4 ms,1 ms,1 ms,84.237.49.138,
