domain,target_ip,hop,rtt1_ms,rtt2_ms,rtt3_ms,hop_host,raw_tracert_excerpt
google.com,64.233.164.139,1,1 ms,1 ms,1 ms,10.3.128.1,
google.com,64.233.164.139,2,2 ms,1 ms,1 ms,84.237.49.5,
google.com,64.233.164.139,3,3 ms,1 ms,1 ms,84.237.49.138,
google.com,64.233.164.139,4,2 ms,2 ms,1 ms,95.170.130.189,
google.com,64.233.164.139,5,55 ms,58 ms,74 ms,85.112.122.5,
google.com,64.233.164.139,6,61 ms,55 ms,56 ms,195.208.208.232,
google.com,64.233.164.139,7,*,65 ms,65 ms,172.253.75.61,
google.com,64.233.164.139,8,*,*,*,Request timed out.,
google.com,64.233.164.139,9,73 ms,*,76 ms,216.239.51.32,
google.com,64.233.164.139,10,71 ms,71 ms,72 ms,108.170.232.251,
google.com,64.233.164.139,11,72 ms,72 ms,75 ms,216.239.63.65,
google.com,64.233.164.139,12,*,*,*,Request timed out.,
github.com,140.82.121.4,1,1 ms,1 ms,1 ms,10.3.128.1,
github.com,140.82.121.4,2,2 ms,1 ms,<1 ms,84.237.49.5,
github.com,140.82.121.4,3,4 ms,1 ms,1 ms,84.237.49.138,
github.com,140.82.121.4,4,3 ms,1 ms,1 ms,95.170.130.189,
github.com,140.82.121.4,5,2 ms,9 ms,2 ms,188.234.79.52,
github.com,140.82.121.4,6,42 ms,43 ms,43 ms,213.248.97.53,
github.com,140.82.121.4,7,49 ms,49 ms,49 ms,213.248.97.52,
github.com,140.82.121.4,8,56 ms,56 ms,56 ms,62.115.139.102,
github.com,140.82.121.4,9,*,85 ms,84 ms,62.115.143.29,
github.com,140.82.121.4,10,84 ms,84 ms,85 ms,62.115.124.117,
github.com,140.82.121.4,11,83 ms,98 ms,*,62.115.182.171,
github.com,140.82.121.4,12,*,*,*,Request timed out.,
yandex.ru,77.88.55.88,1,1 ms,1 ms,1 ms,10.3.128.1,
yandex.ru,77.88.55.88,2,1 ms,1 ms,1 ms,84.237.49.5,
yandex.ru,77.88.55.88,3,4 ms,1 ms,1 ms,84.237.49.138,
yandex.ru,77.88.55.88,4,4 ms,2 ms,3 ms,95.170.130.189,
yandex.ru,77.88.55.88,5,60 ms,58 ms,58 ms,194.226.100.90,
yandex.ru,77.88.55.88,6,74 ms,73 ms,76 ms,87.250.239.23,
yandex.ru,77.88.55.88,7,*,*,*,Request timed out.,
yandex.ru,77.88.55.88,8,*,*,*,Request timed out.,
yandex.ru,77.88.55.88,9,72 ms,72 ms,72 ms,77.88.55.88,
nsu.ru,84.237.49.123,1,1 ms,1 ms,1 ms,10.3.128.1,
nsu.ru,84.237.49.123,2,46 ms,50 ms,48 ms,84.237.49.114,
nsu.ru,84.237.49.123,3,1 ms,1 ms,1 ms,84.237.49.123,
cloudflare.com,104.16.133.229,1,1 ms,1 ms,1 ms,10.3.128.1,
cloudflare.com,104.16.133.229,2,1 ms,1 ms,1 ms,84.237.49.5,
cloudflare.com,104.16.133.229,3,3 ms,1 ms,1 ms,84.237.49.138,
cloudflare.com,104.16.133.229,4,2 ms,4 ms,2 ms,95.170.130.189,
cloudflare.com,104.16.133.229,5,52 ms,*,51 ms,85.112.122.5,
cloudflare.com,104.16.133.229,6,91 ms,91 ms,91 ms,80.81.194.180,
cloudflare.com,104.16.133.229,7,91 ms,91 ms,91 ms,162.158.84.221,
cloudflare.com,104.16.133.229,8,87 ms,*,87 ms,104.16.133.229,
