position,title,artists,duration
1,Cha Cha Cha,Käärijä,02:55
2,Взрослая Жизнь,РАССВЕТОВ,04:29
3,Философский камень,Би-2 & Prague Metropolitan Symphonic Orchestra,04:40
4,come to brazil,bbno$,02:13
5,Seven Seas,Maurice West,03:09
6,Культура,"PLC, The Hatters",03:47
7,Едой едины,SuperZloy,03:40
8,Драккар,"Norma Tale, Gilead",03:02
9,APT.,"Rosé, Bruno Mars",02:50
10,in my zone,"VALORANT, bbno$",02:52
11,SPAGHETTI,"LE SSERAFIM, j-hope",02:52
12,Ezio's Family,Jesper Kyd,03:58
13,Мост в Терабитию,Norma Tale,03:13
14,чёртово колесо,mzlff,02:36
15,Заговор,DEKADANCE,04:36
16,Это было в России,Монеточка,03:14
17,магия,нежность на бумаге,00:00
18,Многоликая,"Рок-Опера Орфей, Egorov",04:04
19,Burn,M.E.O.W,03:19
20,Ножницы,"Norma Tale, TWINKY",02:54
21,не нужен никому,МИР,04:53
22,Ковчег,Монеточка,03:47
23,Papaoutai,Stromae,03:52
24,Бэкап,"DEEP-EX-SENSE, Лжедмитрий IV",04:57
25,ДЕЛОРИАН,Джарахов,03:28
26,Чернокнижник,Noize MC,02:50
27,Пока не кончится зима,Soltwine,03:18
28,ты случилась,мартин,02:21
29,Free Bird,MOONLGHT,01:54
30,Никто не хотел умирать,"Plamenev, Sofiko Kardava",03:13
31,Витаминка,Тима Белорусских,02:56
32,Стоматологическая народная,Арчет,02:58
33,Atlan Battleground,Finishing Move Inc.,05:36
34,Unchained Predator,Finishing Move Inc.,05:45
35,When the Shadows First Lengthened,Finishing Move Inc.,03:07
36,At Doom's Gate,Mick Gordon,01:11
37,Rip & Tear,Mick Gordon,04:18
38,Здесь только море,Монеточка,02:35
39,Это не игра,Чулпан Хаматова,03:46
40,Цифры,ExTeam,02:06
41,ОМСК,нексюша,02:48
42,Пугало,"Детский метал-хор Всесоюзного радио, ANTARCTIC",03:01
43,Мориарти,DEKADANCE,03:58
44,Солнечный круг,Тараканы!,03:12
45,Ночь,"Женя Трофимов, Комната культуры",03:23
46,Вишневый сад,Звери,03:54
47,Daylight,David Kushner,03:33
48,Hallelujah,Rufus Wainwright,04:09
49,Arcade,"Duncan Laurence, FLETCHER",03:05
50,Daylight (Cinematic),David Kushner,04:02
51,Дышать и жить,Asper X,02:54
52,Город,PRAVADA feat. Светлана Сурганова,03:32
53,Последняя битва убийцы великанов II,лунный бард,03:56
54,Наш Мир,"Fun Mode, Plamenev",04:18
55,Perfect,Ed Sheeran,04:23
56,Не вырос,Soltwine,02:49
57,Не волшебник,Norma Tale,03:16
